" Timestamp","Timestamp formattato","Nome PC","Sistema operativo","Utente","Messaggio"
1715557403523,"13-05-2024 01:43:23","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715557404698,"13-05-2024 01:43:24","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","BIANCO si ritira. NERO vince la partita di Scacchi"
1715557405472,"13-05-2024 01:43:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","BIANCO si ritira. NERO vince la partita di Scacchi"
1715557408047,"13-05-2024 01:43:28","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715557552219,"13-05-2024 01:45:52","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","ROSSO non ha piu' pedine.  NERO vince la partita di Dama"
1715559756473,"13-05-2024 02:22:36","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715560293226,"13-05-2024 02:31:33","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715560408730,"13-05-2024 02:33:28","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715560508363,"13-05-2024 02:35:08","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715560801778,"13-05-2024 02:40:01","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715562202818,"13-05-2024 03:03:22","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715562205195,"13-05-2024 03:03:25","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715562284085,"13-05-2024 03:04:44","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","NERO si ritira. BIANCO vince la partita di Scacchi"
1715622968828,"13-05-2024 19:56:08","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715623107704,"13-05-2024 19:58:27","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715623135455,"13-05-2024 19:58:55","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715623517878,"13-05-2024 20:05:17","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715623659920,"13-05-2024 20:07:39","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715624120820,"13-05-2024 20:15:20","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715625161323,"13-05-2024 20:32:41","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715625674282,"13-05-2024 20:41:14","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715626106997,"13-05-2024 20:48:27","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715626226678,"13-05-2024 20:50:26","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715626228861,"13-05-2024 20:50:28","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715628902599,"13-05-2024 21:35:02","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715629544530,"13-05-2024 21:45:44","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715629592243,"13-05-2024 21:46:32","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715632396470,"13-05-2024 22:33:16","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715632450326,"13-05-2024 22:34:10","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632818873,"13-05-2024 22:40:18","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632847844,"13-05-2024 22:40:47","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632882557,"13-05-2024 22:41:22","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632908937,"13-05-2024 22:41:48","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632929825,"13-05-2024 22:42:09","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632952986,"13-05-2024 22:42:32","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715632959244,"13-05-2024 22:42:39","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Scacchi cominciata"
1715633684529,"13-05-2024 22:54:44","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715633705075,"13-05-2024 22:55:05","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634088985,"13-05-2024 23:01:28","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634113296,"13-05-2024 23:01:53","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634131338,"13-05-2024 23:02:11","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634300880,"13-05-2024 23:05:00","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634331061,"13-05-2024 23:05:31","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
1715634386260,"13-05-2024 23:06:26","LAPTOP-B6BG59IT","Windows 10 10.0","rubyf","Partita a Dama cominciata"
